2026-03-24  00:53:58.966 | info | wublh9z282nk4e | Finished.
2026-03-24  00:53:58.966 | info | wublh9z282nk4e | worker-comfyui - Closing websocket connection.\n
2026-03-24  00:53:58.966 | info | wublh9z282nk4e | \n
2026-03-24  00:53:58.966 | info | wublh9z282nk4e | • Node 1 (class_type): UNETLoader\n
2026-03-24  00:53:58.966 | info | wublh9z282nk4e | • Node 1 (dependent_outputs): ['10']\n
2026-03-24  00:53:58.966 | info | wublh9z282nk4e | • Node 1 (errors): [{'type': 'value_not_in_list', 'message': 'Value not in list', 'details': "unet_name: 'wan2.2_t2v_14B_fp8.safetensors' not in []", 'extra_info': {'input_name': 'unet_name', 'input_config': [[], {}], 'received_value': 'wan2.2_t2v_14B_fp8.safetensors'}}]\n
2026-03-24  00:53:58.966 | info | wublh9z282nk4e | • Node 3 (class_type): VAELoader\n
2026-03-24  00:53:58.966 | info | wublh9z282nk4e | • Node 3 (dependent_outputs): ['10']\n
2026-03-24  00:53:58.966 | info | wublh9z282nk4e | • Node 3 (errors): [{'type': 'value_not_in_list', 'message': 'Value not in list', 'details': "vae_name: 'wan_2.2_vae.safetensors' not in ['pixel_space']", 'extra_info': {'input_name': 'vae_name', 'input_config': [['pixel_space'], {}], 'received_value': 'wan_2.2_vae.safetensors'}}]\n
2026-03-24  00:53:58.966 | info | wublh9z282nk4e | • Node 2 (class_type): CLIPLoader\n
2026-03-24  00:53:58.966 | info | wublh9z282nk4e | • Node 2 (dependent_outputs): ['10']\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 2 (errors): [{'type': 'value_not_in_list', 'message': 'Value not in list', 'details': "clip_name: 'umt5_xxl_fp8_e4m3fn_scaled.safetensors' not in []", 'extra_info': {'input_name': 'clip_name', 'input_config': [[], {}], 'received_value': 'umt5_xxl_fp8_e4m3fn_scaled.safetensors'}}]\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | ValueError: Workflow validation failed:\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e |     raise ValueError(detailed_message)\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e |   File "/handler.py", line 427, in queue_workflow\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e |                       ^^^^^^^^^^^^^^^\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e |     queued_workflow = queue_workflow(\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e |   File "/handler.py", line 554, in handler\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e |     raise e\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e |   File "/handler.py", line 572, in handler\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | Traceback (most recent call last):\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 1 (class_type): UNETLoader\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 1 (dependent_outputs): ['10']\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 1 (errors): [{'type': 'value_not_in_list', 'message': 'Value not in list', 'details': "unet_name: 'wan2.2_t2v_14B_fp8.safetensors' not in []", 'extra_info': {'input_name': 'unet_name', 'input_config': [[], {}], 'received_value': 'wan2.2_t2v_14B_fp8.safetensors'}}]\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 3 (class_type): VAELoader\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 3 (dependent_outputs): ['10']\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 3 (errors): [{'type': 'value_not_in_list', 'message': 'Value not in list', 'details': "vae_name: 'wan_2.2_vae.safetensors' not in ['pixel_space']", 'extra_info': {'input_name': 'vae_name', 'input_config': [['pixel_space'], {}], 'received_value': 'wan_2.2_vae.safetensors'}}]\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 2 (class_type): CLIPLoader\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 2 (dependent_outputs): ['10']\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 2 (errors): [{'type': 'value_not_in_list', 'message': 'Value not in list', 'details': "clip_name: 'umt5_xxl_fp8_e4m3fn_scaled.safetensors' not in []", 'extra_info': {'input_name': 'clip_name', 'input_config': [[], {}], 'received_value': 'umt5_xxl_fp8_e4m3fn_scaled.safetensors'}}]\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | worker-comfyui - Value Error: Workflow validation failed:\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 1 (class_type): UNETLoader\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 1 (dependent_outputs): ['10']\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 1 (errors): [{'type': 'value_not_in_list', 'message': 'Value not in list', 'details': "unet_name: 'wan2.2_t2v_14B_fp8.safetensors' not in []", 'extra_info': {'input_name': 'unet_name', 'input_config': [[], {}], 'received_value': 'wan2.2_t2v_14B_fp8.safetensors'}}]\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 3 (class_type): VAELoader\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 3 (dependent_outputs): ['10']\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 3 (errors): [{'type': 'value_not_in_list', 'message': 'Value not in list', 'details': "vae_name: 'wan_2.2_vae.safetensors' not in ['pixel_space']", 'extra_info': {'input_name': 'vae_name', 'input_config': [['pixel_space'], {}], 'received_value': 'wan_2.2_vae.safetensors'}}]\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 2 (class_type): CLIPLoader\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 2 (dependent_outputs): ['10']\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | • Node 2 (errors): [{'type': 'value_not_in_list', 'message': 'Value not in list', 'details': "clip_name: 'umt5_xxl_fp8_e4m3fn_scaled.safetensors' not in []", 'extra_info': {'input_name': 'clip_name', 'input_config': [[], {}], 'received_value': 'umt5_xxl_fp8_e4m3fn_scaled.safetensors'}}]\n
2026-03-24  00:53:58.965 | info | wublh9z282nk4e | worker-comfyui - Unexpected error queuing workflow: Workflow validation failed:\n
